	Hochschulkurzname	Hochschulname	WKR_NR	SPD_Name	SPD_Adr	CDU_Name	CDU_Adr	Green_Name	Green_Adr	FDP_Name	FDP_Adr	Linke_Name	Linke_Adr	AFD_Name	AFD_Adr	Hochschultyp	Trägerschaft	Bundesland
277	Merseburg H	Hochschule Merseburg	74.0	Katrin Budde	katrin.budde@bundestag.de	None	None	None	None	Ingo Bodtke	ingo.bodtke@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen-Anhalt
278	Mittelhessen THM	Technische Hochschule Mittelhessen - THM	173.0	Felix Döring	felix.doering@bundestag.de	Prof. Dr. Helge Braun	helge.braun@bundestag.de	None	None	None	None	Ali Al-Dailami	ali.al-dailami@bundestag.de	Uwe Schulz	uwe.schulz@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Hessen
279	Mittweida H	Hochschule Mittweida, University of Applied Sciences	161.0	None	None	None	None	None	None	Philipp Hartewig	philipp.hartewig@bundestag.de	None	None	Carolin Bachmann	carolin.bachmann@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen
280	München AkdBK	Akademie der Bildenden Künste München	217.0	None	None	Bernhard Loos	bernhard.loos@bundestag.de	None	None	Daniel Föst	daniel.foest@bundestag.de	None	None	Petr Bystron	petr.bystron@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Bayern
281	München HAW	Hochschule für angewandte Wissenschaften München	220.0	None	None	Stephan Pilsinger	stephan.pilsinger@bundestag.de	Dieter Janecek	dieter.janecek@bundestag.de	Dr. Lukas Köhler	lukas.koehler@bundestag.de	Nicole Gohlke	nicole.gohlke@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
282	München HDBW	Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften - HDBW	218.0	Claudia Tausend	claudia.tausend@bundestag.de	Dr. Wolfgang Stefinger	wolfgang.stefinger@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Bayern
283	München HFF	Hochschule für Fernsehen und Film München	217.0	None	None	Bernhard Loos	bernhard.loos@bundestag.de	None	None	Daniel Föst	daniel.foest@bundestag.de	None	None	Petr Bystron	petr.bystron@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Bayern
284	München HMT	Hochschule für Musik und Theater München	217.0	None	None	Bernhard Loos	bernhard.loos@bundestag.de	None	None	Daniel Föst	daniel.foest@bundestag.de	None	None	Petr Bystron	petr.bystron@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Bayern
285	München HPhil	Hochschule für Philosophie	217.0	None	None	Bernhard Loos	bernhard.loos@bundestag.de	None	None	Daniel Föst	daniel.foest@bundestag.de	None	None	Petr Bystron	petr.bystron@bundestag.de	Universitäten	kirchlich, staatlich anerkannt	Bayern
286	München IH	Internationale Hochschule SDI München - Hochschule für angewandte Wissenschaften	219.0	Sebastian Roloff	sebastian.roloff@bundestag.de	None	None	Jamila Schäfer	jamila.schaefer@bundestag.de	None	None	None	None	Wolfgang Wiehle	wolfgang.wiehle@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Bayern
287	München KathH	Katholische    Stiftungshochschule für   angewandte Wissenschaften München - Hochschule der Kirchlichen Stiftung des öffentlichen Rechts Katholische Bildungsstätten für Sozialberufe in Bayern	218.0	Claudia Tausend	claudia.tausend@bundestag.de	Dr. Wolfgang Stefinger	wolfgang.stefinger@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Bayern
288	München MBS	Munich Business School - Staatlich anerkannte private Fachhochschule	220.0	None	None	Stephan Pilsinger	stephan.pilsinger@bundestag.de	Dieter Janecek	dieter.janecek@bundestag.de	Dr. Lukas Köhler	lukas.koehler@bundestag.de	Nicole Gohlke	nicole.gohlke@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Bayern
289	München TU	Technische Universität München	217.0	None	None	Bernhard Loos	bernhard.loos@bundestag.de	None	None	Daniel Föst	daniel.foest@bundestag.de	None	None	Petr Bystron	petr.bystron@bundestag.de	Universitäten	öffentlich-rechtlich	Bayern
290	München U	Ludwig-Maximilians-Universität München	217.0	None	None	Bernhard Loos	bernhard.loos@bundestag.de	None	None	Daniel Föst	daniel.foest@bundestag.de	None	None	Petr Bystron	petr.bystron@bundestag.de	Universitäten	öffentlich-rechtlich	Bayern
291	München UBw	Universität der Bundeswehr München	221.0	None	None	Florian Hahn	florian.hahn@bundestag.de	Dr. Anton Hofreiter	anton.hofreiter@bundestag.de	None	None	None	None	Gerold Otten	gerold.otten@bundestag.de	Universitäten	öffentlich-rechtlich	Bayern
292	Münster FH	FH Münster University of Applied Sciences	129.0	Svenja Schulze	svenja.schulze@bundestag.de	Dr. Stefan Nacke	stefan.nacke@bundestag.de	Maria Klein-Schmeink	maria.klein-schmeink@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
293	Münster KuAk	Kunstakademie Münster, Hochschule für Bildende Künste	129.0	Svenja Schulze	svenja.schulze@bundestag.de	Dr. Stefan Nacke	stefan.nacke@bundestag.de	Maria Klein-Schmeink	maria.klein-schmeink@bundestag.de	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
294	Münster PhThH	Philosophisch-Theologische Hochschule Münster - Kirchlich und staatlich anerkannte Hochschule in Trägerschaft der PTH Philosophisch-Theologische Hochschule Münster gemeinnützige GmbH	129.0	Svenja Schulze	svenja.schulze@bundestag.de	Dr. Stefan Nacke	stefan.nacke@bundestag.de	Maria Klein-Schmeink	maria.klein-schmeink@bundestag.de	None	None	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
295	Münster U	Westfälische Wilhelms-Universität Münster	129.0	Svenja Schulze	svenja.schulze@bundestag.de	Dr. Stefan Nacke	stefan.nacke@bundestag.de	Maria Klein-Schmeink	maria.klein-schmeink@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
296	Neubrandenburg H	Hochschule Neubrandenburg - University of Applied Sciences	16.0	Erik von Malottki	erik.vonmalottki@bundestag.de	Philipp Amthor	philipp.amthor@bundestag.de	None	None	None	None	None	None	Enrico Komning	enrico.komning@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Mecklenburg-Vorpommern
297	Neuendettelsau KiH	Augustana-Hochschule Neuendettelsau	241.0	None	None	Artur Auernhammer	artur.auernhammer@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Bayern
298	Neuruppin MHB	Medizinische Hochschule Brandenburg Theodor Fontane	56.0	Wiebke Papenbrock	wiebke.papenbrock@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	privat, staatlich anerkannt	Brandenburg
299	Neu-Ulm H	Hochschule für angewandte Wissenschaften Neu-Ulm	255.0	None	None	Alexander Engelhard	alexander.engelhard@bundestag.de	Ekin Deligöz	ekin.deligoez@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
300	Niederrhein H	Hochschule Niederrhein	110.0	None	None	Ansgar Heveling	ansgar.heveling@bundestag.de	None	None	Otto Fricke	otto.fricke@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
301	Niedersachsen HRecht (Verw)	Norddeutsche Hochschule für Rechtspflege - Niedersachsen	48.0	Bernd Westphal	bernd.westphal@bundestag.de	None	None	None	None	None	None	None	None	Frank Rinck	frank.rinck@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Niedersachsen
302	Niedersachsen HVerw (Verw)	Kommunale Hochschule für Verwaltung in Niedersachsen	42.0	None	None	None	None	Sven-Christian Kindler	sven-christian.kindler@bundestag.de	Knut Gerschau	knut.gerschau@bundestag.de	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Niedersachsen
303	Niedersachsen PolAk (Verw)	Polizeiakademie Niedersachsen	40.0	Marja-Liisa Völlers	marja.voellers@bundestag.de	None	None	Katja Keul	katja.keul@bundestag.de	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Niedersachsen
304	Niedersachsen SteuerAk (Verw)	Steuerakademie Niedersachsen	40.0	Marja-Liisa Völlers	marja.voellers@bundestag.de	None	None	Katja Keul	katja.keul@bundestag.de	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Niedersachsen
305	Nordhausen H	Hochschule Nordhausen	189.0	None	None	Manfred Grund	manfred.grund@bundestag.de	None	None	None	None	None	None	Jürgen Pohl	juergen.pohl@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Thüringen
306	Nordhessen FH	DIPLOMA Hochschule - Private Fachhochschule Nordhessen	169.0	Michael Roth 	michael.roth@bundestag.de	None	None	Awet Tesfaiesus	awet.tesfaiesus@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
307	Nordrhein-Westfalen DHPol (Verw)	Deutsche Hochschule der Polizei	129.0	Svenja Schulze	svenja.schulze@bundestag.de	Dr. Stefan Nacke	stefan.nacke@bundestag.de	Maria Klein-Schmeink	maria.klein-schmeink@bundestag.de	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Nordrhein-Westfalen
308	Nordrhein-Westfalen FHRecht (Verw)	Fachhochschule für Rechtspflege Nordrhein-Westfalen	92.0	Dagmar Andres	dagmar.andres@bundestag.de	Detlef Seif	detlef.seif@bundestag.de	None	None	Markus Herbrand	markus.herbrand@bundestag.de	None	None	Rüdiger Lucassen	ruediger.lucassen@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Nordrhein-Westfalen
309	Nordrhein-Westfalen HFinanz (Verw)	Hochschule für Finanzen NRW	127.0	None	None	Marc Henrichmann	marc.henrichmann@bundestag.de	Dr. Anne Monika Spallek	anne-monika.spallek@bundestag.de	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Nordrhein-Westfalen
310	Nordrhein-Westfalen HSPV (Verw)	Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen	123.0	Markus Töns	markus.toens@bundestag.de	None	None	Dr. Irene Mihalic	irene.mihalic@bundestag.de	Dr. Marco Buschmann	marco.buschmann@bundestag.de	None	None	Jörg Schneider	joerg.schneider@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Nordrhein-Westfalen
311	Nordrhein-Westfalen KathH	Katholische Hochschule Nordrhein-Westfalen - Catholic University of Applied Sciences	93.0	Sanae Abdi	sanae.abdi@bundestag.de	None	None	None	None	Reinhard Houben	reinhard.houben@bundestag.de	None	None	Fabian Jacobi	fabian.jacobi@bundestag.de	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
312	Nordrhein-Westfalen SRH	SRH Hochschule in Nordrhein-Westfalen	145.0	Michael Thews	michael.thews@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
313	Nürnberg AkdBK	Akademie der Bildenden Künste Nürnberg	244.0	Gabriela Heinrich	gabriela.heinrich@bundestag.de	Sebastian Brehm	sebastian.brehm@bundestag.de	Tessa Ganserer	tessa.ganserer@bundestag.de	Katja Hessel	katja.hessel@bundestag.de	None	None	Martin Sichert	martin.sichert@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Bayern
314	Nürnberg EvH	Evangelische Hochschule für angewandte Wissenschaften - Evangelische Fachhochschule Nürnberg	244.0	Gabriela Heinrich	gabriela.heinrich@bundestag.de	Sebastian Brehm	sebastian.brehm@bundestag.de	Tessa Ganserer	tessa.ganserer@bundestag.de	Katja Hessel	katja.hessel@bundestag.de	None	None	Martin Sichert	martin.sichert@bundestag.de	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Bayern
315	Nürnberg HfM	Hochschule für Musik Nürnberg	244.0	Gabriela Heinrich	gabriela.heinrich@bundestag.de	Sebastian Brehm	sebastian.brehm@bundestag.de	Tessa Ganserer	tessa.ganserer@bundestag.de	Katja Hessel	katja.hessel@bundestag.de	None	None	Martin Sichert	martin.sichert@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Bayern
316	Nürnberg TH	Technische Hochschule Nürnberg Georg Simon Ohm	244.0	Gabriela Heinrich	gabriela.heinrich@bundestag.de	Sebastian Brehm	sebastian.brehm@bundestag.de	Tessa Ganserer	tessa.ganserer@bundestag.de	Katja Hessel	katja.hessel@bundestag.de	None	None	Martin Sichert	martin.sichert@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
317	Nürtingen-Geislingen H	Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen	262.0	Dr. Nils Schmid	nils.schmid@bundestag.de	None	None	Matthias Gastel	matthias.gastel@bundestag.de	Renata Alt	renata.alt@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
318	Oberursel LuthThH	Lutherische Theologische Hochschule Oberursel	176.0	None	None	Markus Koob	markus.koob@bundestag.de	None	None	Katja Adler	katja.adler@bundestag.de	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Hessen
319	Offenbach HfGest	Hochschule für Gestaltung Offenbach	185.0	None	None	Björn Simon	bjoern.simon@bundestag.de	Dr. Wolfgang Strengmann-Kuhn	wolfgang.strengmann-kuhn@bundestag.de	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Hessen
320	Offenburg H	Hochschule für Technik, Wirtschaft und Medien Offenburg	284.0	None	None	Dr. Wolfgang Schäuble	wolfgang.schaeuble@bundestag.de	None	None	Martin Gassner-Herz	martin.gassner-herz@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
321	Oldenburg U	Carl von Ossietzky Universität Oldenburg	27.0	Dennis Rohde	dennis.rohde@bundestag.de	Stephan Albani	stephan.albani@bundestag.de	Susanne Menge	susanne.menge@bundestag.de	None	None	Amira Mohamed Ali	amira.mohamedali@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
322	Osnabrück H	Hochschule Osnabrück	39.0	Manuel Gava	manuel.gava@bundestag.de	Dr. Mathias Middelberg	mathias.middelberg@bundestag.de	None	None	None	None	Heidi Reichinnek	heidi.reichinnek@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Niedersachsen
323	Osnabrück U	Universität Osnabrück	39.0	Manuel Gava	manuel.gava@bundestag.de	Dr. Mathias Middelberg	mathias.middelberg@bundestag.de	None	None	None	None	Heidi Reichinnek	heidi.reichinnek@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
324	Ostfalia H	Hochschule Braunschweig/Wolfenbüttel, Ostfalia Hochschule für angewandte Wissenschaften	49.0	Dunja Kreiser	dunja.kreiser@bundestag.de	None	None	None	None	None	None	Victor Perli	victor.perli@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Niedersachsen
325	Ostwestfalen-Lippe TH	Technische Hochschule Ostwestfalen-Lippe 	135.0	Jürgen Berghahn	juergen.berghahn@bundestag.de	Kerstin Vieregge	kerstin.vieregge@bundestag.de	Robin Wagener	robin.wagener@bundestag.de	Christian Sauter	christian.sauter@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
326	Ottersberg H	Hochschule für Künste im Sozialen, Ottersberg	35.0	Lars Klingbeil	lars.klingbeil@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Niedersachsen
327	Paderborn FHDW	Fachhochschule der Wirtschaft	137.0	None	None	Dr. Carsten Linnemann	carsten.linnemann@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
328	Paderborn ThFak	Theologische Fakultät Paderborn	137.0	None	None	Dr. Carsten Linnemann	carsten.linnemann@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
329	Paderborn U	Universität Paderborn	137.0	None	None	Dr. Carsten Linnemann	carsten.linnemann@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
330	Passau U	Universität Passau	229.0	Johannes Schätzl	johannes.schaetzl@bundestag.de	Andreas Scheuer	andreas.scheuer@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Bayern
331	Pforzheim H	Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht	279.0	Katja Mast	katja.mast@bundestag.de	Gunther Krichbaum	gunther.krichbaum@bundestag.de	Stephanie Aeffner	stephanie.aeffner@bundestag.de	Rainer Semet	rainer.semet@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
332	Potsdam-Babelsberg FilmU	Filmuniversität Babelsberg Konrad Wolf	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Brandenburg
333	Potsdam CHP	Hochschule Clara Hoffbauer (HCHP) - University of Applied Sciences	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
334	Potsdam FH	Fachhochschule Potsdam	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Brandenburg
335	Potsdam FHSport	Fachhochschule für Sport und Management Potsdam	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
336	Potsdam GISMA	Gisma University of Applied Sciences	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
337	Potsdam GU	GU Deutsche Hochschule für Angewandte Wissenschaften - German University of Applied Sciences	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
338	Potsdam HSD	HSD Hochschule Döpfer	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
339	Potsdam U	Universität Potsdam	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Brandenburg
340	Potsdam UE	University of Europe for Applied Sciences	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
341	Potsdam XU	XU Exponential University of Applied Sciences	61.0	Olaf Scholz	olaf.scholz@bundestag.de	None	None	Annalena Baerbock	annalena.baerbock@bundestag.de	Linda Teuteberg	linda.teuteberg@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Brandenburg
342	Ravensburg-Weingarten H	Hochschule Ravensburg-Weingarten	294.0	Heike Engelhardt	heike.engelhardt@bundestag.de	Axel Müller	axel.mueller@bundestag.de	Agnieszka Brugger	agnieszka.brugger@bundestag.de	Benjamin Strasser	benjamin.strasser@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
343	Regensburg HfKiM	Hochschule für Katholische Kirchenmusik und Musikpädagogik	233.0	Dr. Carolin Wagner	carolin.wagner@bundestag.de	Peter Aumer	peter.aumer@bundestag.de	Stefan Schmidt	stefan.schmidt@bundestag.de	Ulrich Lechte	ulrich.lechte@bundestag.de	None	None	None	None	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Bayern
344	Regensburg OTH	Ostbayerische Technische Hochschule Regensburg	233.0	Dr. Carolin Wagner	carolin.wagner@bundestag.de	Peter Aumer	peter.aumer@bundestag.de	Stefan Schmidt	stefan.schmidt@bundestag.de	Ulrich Lechte	ulrich.lechte@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
345	Regensburg U	Universität Regensburg	233.0	Dr. Carolin Wagner	carolin.wagner@bundestag.de	Peter Aumer	peter.aumer@bundestag.de	Stefan Schmidt	stefan.schmidt@bundestag.de	Ulrich Lechte	ulrich.lechte@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Bayern
346	Reutlingen HTWID	Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design	289.0	None	None	Michael Donth	michael.donth@bundestag.de	Beate Müller-Gemmeke	beate.mueller-gemmeke@bundestag.de	Pascal Kober	pascal.kober@bundestag.de	Jessica Tatti	jessica.tatti@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
347	Reutlingen ThH	Theologische Hochschule Reutlingen - staatlich anerkannte Fachhochschule der Evangelisch-methodistischen Kirche	289.0	None	None	Michael Donth	michael.donth@bundestag.de	Beate Müller-Gemmeke	beate.mueller-gemmeke@bundestag.de	Pascal Kober	pascal.kober@bundestag.de	Jessica Tatti	jessica.tatti@bundestag.de	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Baden-Württemberg
348	Rheinland-Pfalz HFinanz (Verw)	Hochschule für Finanzen Rheinland-Pfalz	211.0	Thomas Hitschler	thomas.hitschler@bundestag.de	Dr. Thomas Gebhart	thomas.gebhart@bundestag.de	Dr. Tobias Lindner	tobias.lindner@bundestag.de	Dr. Volker Wissing	volker.wissing@bundestag.de	None	None	Bernd Schattner	bernd.schattner@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Rheinland-Pfalz
349	Rheinland-Pfalz HPol (Verw)	Hochschule der Polizei Rheinland-Pfalz	200.0	None	None	Dr. Marlon Bröhr	marlon.broehr@bundestag.de	None	None	Carina Konrad	carina.konrad@bundestag.de	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Rheinland-Pfalz
350	Rheinland-Pfalz HVerw (Verw)	Hochschule für öffentliche Verwaltung Rheinland-Pfalz	198.0	None	None	Mechthild Heil	mechthild.heil@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Rheinland-Pfalz
351	RheinMain H	Hochschule RheinMain	179.0	None	None	Ingmar Jung	ingmar.jung@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Hessen
352	Rhein-Waal H	Hochschule Rhein-Waal - University of Applied Sciences	112.0	None	None	Stefan Rouenhoff	stefan.rouenhoff@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
353	Riedlingen SRH	SRH Fernhochschule - The Mobile University	292.0	Martin Gerster	martin.gerster@bundestag.de	Josef Rief	josef.rief@bundestag.de	Dr. Anja Reinalter	anja.reinalter@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
354	Rosenheim TH	Technische Hochschule Rosenheim	222.0	None	None	Daniela Ludwig	daniela.ludwig@bundestag.de	None	None	None	None	Ates Gürpinar	ates.guerpinar@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
355	Rostock HMT	Hochschule für Musik und Theater Rostock		None	None	None	None	None	None	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Mecklenburg-Vorpommern
356	Rostock U	Universität Rostock	14.0	Katrin Zschau	katrin.zschau@bundestag.de	None	None	None	None	Hagen Reinhold	hagen.reinhold@bundestag.de	Dr. Dietmar Bartsch	dietmar.bartsch@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Mecklenburg-Vorpommern
357	Rottenburg H	Hochschule für Forstwirtschaft Rottenburg	290.0	Dr. Martin Rosemann	martin.rosemann@bundestag.de	Annette Widmann-Mauz	annette.widmann-mauz@bundestag.de	Christian Kühn 	christian.kuehn@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
358	Rottenburg HfKiM	Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart	290.0	Dr. Martin Rosemann	martin.rosemann@bundestag.de	Annette Widmann-Mauz	annette.widmann-mauz@bundestag.de	Christian Kühn 	christian.kuehn@bundestag.de	None	None	None	None	None	None	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Baden-Württemberg
359	Ruhr West H	Hochschule Ruhr West- University of Applied Sciences	118.0	Sebastian Fiedler	sebastian.fiedler@bundestag.de	Astrid Timmermann-Fechter	astrid.timmermann-fechter@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
360	Saarbrücken DHfPG	Deutsche Hochschule für Prävention und Gesundheitsmanagement GmbH	296.0	Josephine Ortleb	josephine.ortleb@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Saarland
361	Saarbrücken HfM	Hochschule für Musik Saar	296.0	Josephine Ortleb	josephine.ortleb@bundestag.de	None	None	None	None	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Saarland
362	Saarbrücken HTW	Hochschule für Technik und Wirtschaft des Saarlandes	296.0	Josephine Ortleb	josephine.ortleb@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Saarland
363	Saarbrücken U	Universität des Saarlandes	296.0	Josephine Ortleb	josephine.ortleb@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Saarland
364	Saar HBK	Hochschule der Bildenden Künste Saar	296.0	Josephine Ortleb	josephine.ortleb@bundestag.de	None	None	None	None	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Saarland
365	Saarland FHVerw (Verw)	Fachhochschule der Verwaltung des Saarlandes	299.0	Esra Limbacher	esra.limbacher@bundestag.de	Markus Uhl	markus.uhl@bundestag.de	None	None	None	None	None	None	Dr. Christian Wirth	christian.wirth@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Saarland
366	Sachsen-Anhalt FHPol (Verw)	Fachhochschule Polizei Sachsen-Anhalt	68.0	None	None	Heike Brehmer	heike.brehmer@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Sachsen-Anhalt
367	Sachsen HPol (Verw)	Hochschule der Sächsischen Polizei (FH)	157.0	None	None	None	None	None	None	None	None	None	None	Tino Chrupalla	tino.chrupalla@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Sachsen
